Branch_ID,Branch_Name,Emp_Count,Avg_Salary
BR0252,"Chandigarh Branch 252",30,110173.43
BR0392,"Pune Branch 392",30,85345.67
BR0543,"Surat Branch 543",22,115506.22
BR0328,"Chennai Branch 328",21,105423.46
BR0436,"Indore Branch 436",21,90568.09
BR0326,"Chennai Branch 326",20,97417.31
BR0395,"Lucknow Branch 395",20,98453.56
BR0451,"Alwar Branch 451",20,99522.93
BR0637,"Delhi Branch 637",20,76459.56
BR0751,"Pune Branch 751",20,97956.35
BR0935,"Chandigarh Branch 935",20,121484.18
BR0128,"Chandigarh Branch 128",19,95000.96
BR0423,"Lucknow Branch 423",19,105869.99
BR0502,"Delhi Branch 502",19,101407.24
BR0653,"Jodhpur Branch 653",19,109293.45
BR0747,"Kolkata Branch 747",19,95674.13
BR0928,"Kolkata Branch 928",19,115106.28
BR0057,"Surat Branch 57",18,105586.71
BR0232,"Pune Branch 232",18,79386.84
BR0284,"Chandigarh Branch 284",18,109121.74
BR0329,"Chandigarh Branch 329",18,100117.36
BR0377,"Ahmedabad Branch 377",18,99177.84
BR0437,"Pune Branch 437",18,86447.52
BR0441,"Udaipur Branch 441",18,93928.35
BR0605,"Pune Branch 605",18,91240.69
BR0608,"Alwar Branch 608",18,88064.23
BR0036,"Chennai Branch 36",17,100462.87
BR0148,"Hyderabad Branch 148",17,92206.83
BR0197,"Lucknow Branch 197",17,98374.45
BR0285,"Surat Branch 285",17,103681.95
BR0367,"Bengaluru Branch 367",17,77041.92
BR0515,"Udaipur Branch 515",17,105746.12
BR0531,"Jodhpur Branch 531",17,101977.63
BR0550,"Kota Branch 550",17,89388.96
BR0659,"Bhopal Branch 659",17,110622.70
BR0779,"Alwar Branch 779",17,97443.45
BR0801,"Pune Branch 801",17,104195.68
BR0035,"Chandigarh Branch 35",16,106758.70
BR0058,"Kota Branch 58",16,69065.42
BR0118,"Indore Branch 118",16,97835.48
BR0316,"Bhopal Branch 316",16,116311.32
BR0458,"Chennai Branch 458",16,80699.71
BR0509,"Indore Branch 509",16,108369.95
BR0522,"Lucknow Branch 522",16,87978.75
BR0534,"Bengaluru Branch 534",16,92749.13
