Customer_ID,Recency_Days,Frequency,Monetary_Value,Total_RFM_Score,Customer_Tier
CUST099995,567,4,546425.69,12,"Platinum High Value"
CUST005270,338,6,546356.25,12,"Platinum High Value"
CUST064815,729,2,423010.52,12,"Platinum High Value"
CUST019346,642,3,546141.90,12,"Platinum High Value"
CUST098979,1064,3,422875.59,12,"Platinum High Value"
CUST098951,234,3,545960.82,12,"Platinum High Value"
CUST006037,391,3,422862.60,12,"Platinum High Value"
CUST046790,713,6,545957.26,12,"Platinum High Value"
CUST062639,704,4,422819.54,12,"Platinum High Value"
CUST031542,497,5,422761.09,12,"Platinum High Value"
CUST021634,550,3,421991.95,12,"Platinum High Value"
CUST051717,449,4,421829.55,12,"Platinum High Value"
CUST026872,391,4,421605.20,12,"Platinum High Value"
CUST000479,495,6,421546.67,12,"Platinum High Value"
CUST066397,291,6,420845.61,12,"Platinum High Value"
CUST037644,220,5,420839.91,12,"Platinum High Value"
CUST047847,710,6,545576.74,12,"Platinum High Value"
CUST049875,573,4,420445.84,12,"Platinum High Value"
CUST097534,859,2,420207.80,12,"Platinum High Value"
CUST081887,223,6,420179.37,12,"Platinum High Value"
CUST024496,258,6,545279.22,12,"Platinum High Value"
CUST063879,458,7,545242.20,12,"Platinum High Value"
CUST058961,285,5,545142.19,12,"Platinum High Value"
CUST002092,659,4,419742.51,12,"Platinum High Value"
CUST014371,308,7,545076.23,12,"Platinum High Value"
CUST044552,254,3,545061.11,12,"Platinum High Value"
CUST035237,683,4,419658.64,12,"Platinum High Value"
CUST083593,378,5,545038.56,12,"Platinum High Value"
CUST057629,490,3,544926.63,12,"Platinum High Value"
CUST071384,350,5,419123.21,12,"Platinum High Value"
CUST050090,343,5,419024.21,12,"Platinum High Value"
CUST005956,357,6,418990.64,12,"Platinum High Value"
CUST076700,526,6,544759.94,12,"Platinum High Value"
CUST097448,213,5,418895.60,12,"Platinum High Value"
CUST003160,287,4,544698.47,12,"Platinum High Value"
CUST024911,447,3,418716.20,12,"Platinum High Value"
CUST087889,702,6,544668.35,12,"Platinum High Value"
CUST084921,952,5,544644.28,12,"Platinum High Value"
CUST026060,370,4,544622.71,12,"Platinum High Value"
CUST031337,452,5,418668.36,12,"Platinum High Value"
CUST007585,540,3,418640.24,12,"Platinum High Value"
CUST055378,702,4,544534.94,12,"Platinum High Value"
CUST036923,594,4,418563.77,12,"Platinum High Value"
CUST040522,443,4,418023.88,12,"Platinum High Value"
CUST064296,550,5,544226.16,12,"Platinum High Value"
CUST081301,210,7,544205.50,12,"Platinum High Value"
CUST088165,465,6,417867.66,12,"Platinum High Value"
CUST083843,270,4,417656.89,12,"Platinum High Value"
CUST086166,746,2,417567.23,12,"Platinum High Value"
CUST048087,215,6,417488.74,12,"Platinum High Value"
