Loan_ID,Customer_ID,Account_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Status,Loan_Date
LOAN0000001,CUST041941,ACC0024052,"Car Loan",4082344.22,11.98,0,Unknown,2022-07-19
LOAN0000002,CUST076688,ACC0074530,"Personal Loan",3294215.83,13.60,120,Closed,2023-08-18
LOAN0000003,CUST024029,ACC0119890,"Car Loan",3921168.46,11.13,120,Active,2025-10-14
LOAN0000004,CUST065801,ACC0004457,"Education Loan",70276.93,17.41,120,Active,2024-10-04
LOAN0000005,CUST066227,ACC0076857,"Home Loan",531252.26,14.71,60,Active,2023-09-08
LOAN0000006,CUST071909,ACC0129580,"Education Loan",502595.90,10.23,12,Pending,2025-04-25
LOAN0000007,CUST045139,ACC0088018,"Car Loan",3882097.69,9.87,84,Closed,2025-07-08
LOAN0000008,CUST009040,ACC0034804,"Business Loan",438089.62,14.61,24,Active,2025-11-08
LOAN0000009,CUST074536,ACC0036538,"Business Loan",4626946.00,14.13,24,Closed,2022-06-05
LOAN0000010,CUST012284,ACC0011692,"Business Loan",906139.47,13.77,48,Active,2025-10-16
LOAN0000011,CUST054369,ACC0003918,"Personal Loan",4064772.83,15.74,84,Closed,2022-08-09
LOAN0000012,CUST005097,ACC0092638,"Home Loan",3373093.23,12.74,12,Defaulted,2023-01-06
LOAN0000013,CUST037586,ACC0067988,"Education Loan",1268229.91,13.81,120,Closed,2022-09-08
LOAN0000014,CUST033936,ACC0079401,"Car Loan",3010704.44,6.34,36,Active,2023-01-10
LOAN0000015,CUST064179,ACC0035813,"Car Loan",1439926.17,15.92,0,Pending,2024-02-20
LOAN0000016,CUST003456,ACC0019052,"Business Loan",2728656.21,17.03,12,Active,2025-04-07
LOAN0000017,CUST055602,ACC0076730,"Business Loan",1913663.21,10.41,120,Defaulted,2022-08-19
LOAN0000018,CUST059109,ACC0031521,"Car Loan",3386740.25,9.97,24,Closed,2025-08-14
LOAN0000019,CUST006268,ACC0072197,"Education Loan",1615802.66,15.13,24,Pending,2022-01-18
LOAN0000020,CUST036030,ACC0106760,"Business Loan",1667324.37,16.69,60,Unknown,2025-12-28
LOAN0000021,CUST001571,ACC0012811,"Car Loan",3411108.85,10.91,84,Unknown,2024-12-18
LOAN0000022,CUST064663,ACC0066070,"Car Loan",4387388.08,8.05,60,Active,2024-07-04
LOAN0000023,CUST003665,ACC0109383,"Car Loan",3616751.07,6.44,12,Active,2024-07-10
LOAN0000024,CUST054138,ACC0036502,"Business Loan",2992753.87,16.82,24,Pending,2022-09-25
LOAN0000025,CUST048804,ACC0022921,"Business Loan",3833201.81,10.86,24,Pending,2023-04-14
LOAN0000026,CUST079131,ACC0114446,"Business Loan",3955009.24,15.65,0,Active,2023-09-27
LOAN0000027,CUST097835,ACC0010406,"Home Loan",106475.00,10.00,84,Unknown,2022-12-17
LOAN0000028,CUST044194,ACC0007025,"Home Loan",1800770.70,16.37,24,Active,2024-03-28
LOAN0000029,CUST081599,ACC0070091,"Education Loan",922196.96,13.63,120,Pending,2023-07-01
LOAN0000030,CUST066052,ACC0029302,"Home Loan",3102625.24,16.27,12,Active,2022-09-15
LOAN0000031,CUST022739,ACC0028042,"Car Loan",2402981.63,12.05,0,Pending,2024-12-22
LOAN0000032,CUST099516,ACC0001028,"Personal Loan",3522636.11,15.36,24,Closed,2022-09-15
LOAN0000033,CUST092446,ACC0124451,"Car Loan",2389416.26,9.73,120,Unknown,2024-02-10
LOAN0000034,CUST041038,ACC0104034,"Business Loan",4216032.29,13.11,24,Active,2025-06-26
LOAN0000035,CUST016857,ACC0033928,"Home Loan",901252.85,11.87,48,Closed,2022-01-06
LOAN0000036,CUST060097,ACC0044393,"Business Loan",702810.57,6.22,120,Active,2022-03-14
LOAN0000037,CUST067985,ACC0071048,"Car Loan",1765906.83,7.45,0,Active,2024-11-23
LOAN0000038,CUST012704,ACC0048939,"Education Loan",1786165.35,14.13,48,Unknown,2022-03-22
LOAN0000039,CUST089017,ACC0069914,"Car Loan",876647.07,11.91,12,Pending,2024-02-17
LOAN0000040,CUST033965,ACC0095311,"Business Loan",1764811.75,6.79,0,Active,2024-07-23
