Transaction_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Channel,Amount,Balance_After_Transaction,Transaction_Status,Branch_ID
TXN000000001,ACC0021330,CUST027591,2022-11-27,Deposit,UPI,57583.27,3190809.72,Success,BR0763
TXN000000002,ACC0113893,CUST010128,2023-08-20,"Atm withdrawal",Branch,12160.64,5997641.82,Success,BR0104
TXN000000003,ACC0103444,CUST082331,2024-10-25,"Loan payment","Internet Banking",143276.51,247917.95,Success,BR0331
TXN000000004,ACC0047132,CUST066207,2023-04-26,"Atm withdrawal",Unknown,264986.15,2294910.61,Failed,BR0431
TXN000000005,ACC0107078,CUST022109,2024-12-09,Unknown,Branch,262560.72,3891240.67,Success,BR0622
TXN000000006,ACC0013499,CUST069336,2023-10-31,Withdrawal,UPI,234600.35,4658541.10,Success,BR0529
TXN000000007,ACC0023971,CUST095506,2023-04-06,Upi,"Internet Banking",295063.56,435838.55,Failed,BR0847
TXN000000008,ACC0062667,CUST012951,2022-02-05,Deposit,Unknown,170505.45,2161779.91,Failed,BR0386
TXN000000009,ACC0127346,CUST027492,2025-11-15,Deposit,UPI,133438.12,5370335.73,Failed,BR0334
TXN000000010,ACC0062577,CUST078970,2022-01-29,Deposit,ATM,163037.15,5900513.83,Unknown,BR0601
TXN000000011,ACC0047503,CUST071249,2022-09-20,"Card payment",Branch,248438.75,5505809.01,Pending,BR0182
TXN000000012,ACC0004749,CUST064422,2024-02-10,Unknown,ATM,282592.60,3175903.58,Unknown,BR0864
TXN000000013,ACC0101579,CUST085834,2022-11-10,"Card payment",Branch,85478.53,4936574.47,Success,BR0537
TXN000000014,ACC0115446,CUST040789,2025-06-18,Withdrawal,ATM,22715.57,2889491.53,Reversed,BR0520
TXN000000015,ACC0128725,CUST057505,2022-06-10,Unknown,ATM,17871.39,3606567.95,Pending,BR0091
TXN000000016,ACC0035057,CUST049002,2024-02-11,Deposit,Unknown,294231.74,5487896.73,Success,BR0133
TXN000000017,ACC0093868,CUST087106,2023-03-29,Unknown,"Mobile App",186356.08,855931.80,Success,BR0535
TXN000000018,ACC0056316,CUST098725,2023-03-26,Withdrawal,"mobile app",272392.26,5492691.55,Success,BR0168
TXN000000019,ACC0067861,CUST090483,2023-10-31,Deposit,ATM,120398.54,3060469.87,Reversed,BR0684
TXN000000020,ACC0017289,CUST092184,2022-11-02,"Card payment",POS,276196.03,566165.67,Success,BR0854
TXN000000021,ACC0067385,CUST071919,2025-04-27,Withdrawal,"Internet Banking",202084.91,1136998.99,Pending,BR0643
TXN000000022,ACC0010690,CUST006083,2023-07-17,"Card payment","Mobile App",249215.15,4826701.90,Pending,BR0716
TXN000000023,ACC0019988,CUST080420,2022-07-03,Withdrawal,POS,223624.81,5339337.53,Success,BR0118
TXN000000024,ACC0093252,CUST066411,2025-09-16,"Atm withdrawal",ATM,237080.82,2234138.50,Success,BR0662
TXN000000025,ACC0065339,CUST036900,2023-02-13,"Card payment",ATM,266727.30,5454881.80,Failed,BR0694
