Month,Total_txn,Total_Amount
2022-01,21144,3080542985.73
2022-02,19019,2799317242.91
2022-03,21259,3132484648.01
2022-04,20416,3005321282.14
2022-05,20917,3060022999.47
2022-06,20227,2983818969.25
2022-07,20916,3094447186.55
2022-08,21112,3123520674.76
2022-09,20343,2988074247.85
2022-10,20954,3071321349.13
2022-11,20380,2978725410.48
2022-12,21047,3090427508.44
2023-01,21038,3112591351.50
2023-02,18831,2755499615.75
2023-03,21206,3109276460.43
2023-04,20423,3009490620.22
2023-05,20833,3071314481.69
2023-06,20249,2993374628.42
2023-07,21018,3086683599.86
2023-08,20954,3076822539.59
2023-09,20308,3000480534.89
2023-10,20922,3066717915.75
2023-11,20161,2989597000.00
2023-12,21004,3102706424.62
2024-01,20802,3071716698.45
2024-02,19627,2865689476.47
2024-03,21150,3123249852.93
2024-04,20383,2981012536.08
2024-05,20789,3098888608.10
2024-06,20345,3002125224.87
2024-07,20865,3092447286.07
2024-08,20986,3092354780.74
2024-09,20296,2961762711.73
2024-10,20742,3045932871.25
2024-11,20355,2982273452.90
2024-12,21025,3118030532.90
2025-01,20690,3039442656.91
2025-02,19050,2776769620.50
2025-03,20932,3074803317.76
2025-04,20355,2981760436.08
2025-05,20800,3046915224.55
2025-06,20334,2981754877.49
2025-07,24033,3533223926.65
2025-08,21090,3106976716.71
2025-09,20067,2935091105.37
2025-10,21076,3093839085.45
2025-11,20524,3018726921.89
2025-12,20959,3070241245.56
