Branch_ID,Branch_Name,City,State,Total_txn_Count,Total_Txn_Amount
BR0543,"Surat Branch 543",Surat,Gujarat,2116,305878346.24
BR0059,"Surat Branch 59",Surat,Gujarat,2036,301201637.78
BR0751,"Pune Branch 751",Pune,Maharashtra,2060,299235150.08
BR0935,"Chandigarh Branch 935",Chandigarh,Chandigarh,1996,295843057.22
BR0657,"Jodhpur Branch 657",Jodhpur,Rajasthan,2038,295433037.28
BR0441,"Udaipur Branch 441",Udaipur,Rajasthan,2024,294376286.00
BR0816,"Mumbai Branch 816",Mumbai,Maharashtra,2016,292298898.32
BR0252,"Chandigarh Branch 252",Chandigarh,Chandigarh,1918,285701010.10
BR0448,"Pune Branch 448",Pune,Maharashtra,1906,274028998.10
BR0392,"Pune Branch 392",Pune,Maharashtra,1952,273837430.02
BR0225,"Pune Branch 225",Pune,Maharashtra,1086,165992756.41
BR0386,"Chennai Branch 386",Chennai,"Tamil Nadu",1066,164037499.18
BR0736,"Udaipur Branch 736",Udaipur,Rajasthan,1079,162790299.76
BR0722,"Kolkata Branch 722",Kolkata,"West Bengal",1054,160736572.31
BR0844,"Udaipur Branch 844",Udaipur,Rajasthan,1084,160667183.47
BR0193,"Udaipur Branch 193",Udaipur,Rajasthan,1069,160464289.48
BR0167,"Jaipur Branch 167",Jaipur,Rajasthan,1058,160146815.42
BR0038,"Alwar Branch 38",Alwar,Rajasthan,1041,160098389.46
BR0813,"Mumbai Branch 813",Mumbai,Maharashtra,1048,159929958.53
BR0996,"Indore Branch 996",Indore,"Madhya Pradesh",1078,159928484.99
BR0413,"Delhi Branch 413",Delhi,Delhi,1033,159483303.52
BR0498,"Kota Branch 498",Kota,Rajasthan,1065,158905638.56
BR0716,"Surat Branch 716",Surat,Gujarat,1077,158555486.77
BR0599,"Ahmedabad Branch 599",Ahmedabad,Gujarat,1072,158367466.45
BR0495,"Alwar Branch 495",Alwar,Rajasthan,1068,158253734.40
BR0237,"Kolkata Branch 237",Kolkata,"West Bengal",1064,158176243.06
BR0329,"Chandigarh Branch 329",Chandigarh,Chandigarh,1075,158014625.56
BR0276,"Mumbai Branch 276",Mumbai,Maharashtra,1046,157908161.01
BR0525,"Bengaluru Branch 525",Bengaluru,Karnataka,1065,157906448.20
BR0105,"Chandigarh Branch 105",Chandigarh,Chandigarh,1043,157861111.07
BR0574,"Kolkata Branch 574",Kolkata,"West Bengal",1048,157798870.12
BR0109,"Delhi Branch 109",Delhi,Delhi,1053,157791383.28
BR0482,"Ahmedabad Branch 482",Ahmedabad,Gujarat,1044,157466141.65
BR0992,"Hyderabad Branch 992",Hyderabad,Telangana,1076,157254239.65
BR0339,"Jaipur Branch 339",Jaipur,Rajasthan,1063,157169289.05
BR0617,"Indore Branch 617",Indore,"Madhya Pradesh",1031,157118981.29
BR0143,"Bhopal Branch 143",Bhopal,"Madhya Pradesh",1072,157079417.13
BR0681,"Mumbai Branch 681",Mumbai,Maharashtra,1061,157075142.40
BR0132,"Udaipur Branch 132",Udaipur,Rajasthan,1059,156964865.00
BR0051,"Chandigarh Branch 51",Chandigarh,Chandigarh,1032,156777193.35
BR0499,"Surat Branch 499",Surat,Gujarat,1059,156770452.09
BR0052,"Surat Branch 52",Surat,Gujarat,1077,156450679.44
BR0133,"Pune Branch 133",Pune,Maharashtra,1043,156443847.90
BR0372,"Jodhpur Branch 372",Jodhpur,Rajasthan,1032,156315329.76
BR0417,"Jodhpur Branch 417",Jodhpur,Rajasthan,1041,156308589.27
BR0274,"Ahmedabad Branch 274",Ahmedabad,Gujarat,1061,156205716.02
BR0831,"Chandigarh Branch 831",Chandigarh,Chandigarh,998,156165481.93
BR0680,"Indore Branch 680",Indore,"Madhya Pradesh",1018,156040507.50
BR0318,"Udaipur Branch 318",Udaipur,Rajasthan,1038,156013038.50
BR0711,"Udaipur Branch 711",Udaipur,Rajasthan,1024,155994452.45
BR0956,"Mumbai Branch 956",Mumbai,Maharashtra,1034,155992596.90
BR0047,"Bengaluru Branch 47",Bengaluru,Karnataka,1050,155985067.85
BR0885,"Chennai Branch 885",Chennai,"Tamil Nadu",1042,155981018.59
BR0785,"Kota Branch 785",Kota,Rajasthan,1043,155954050.37
BR0676,"Mumbai Branch 676",Mumbai,Maharashtra,1036,155911603.13
BR0210,"Delhi Branch 210",Delhi,Delhi,1029,155845546.39
BR0286,"Bengaluru Branch 286",Bengaluru,Karnataka,1039,155832606.15
BR0922,"Bengaluru Branch 922",Bengaluru,Karnataka,1042,155779870.39
BR0120,"Delhi Branch 120",Delhi,Delhi,1041,155588544.60
BR0176,"Alwar Branch 176",Alwar,Rajasthan,1083,155539255.31
BR0616,"Ahmedabad Branch 616",Ahmedabad,Gujarat,1058,155515551.14
BR0549,"Indore Branch 549",Indore,"Madhya Pradesh",1043,155480488.81
BR0401,"Chennai Branch 401",Chennai,"Tamil Nadu",1028,155452758.93
BR0826,"Chandigarh Branch 826",Chandigarh,Chandigarh,1050,155434348.58
BR0563,"Pune Branch 563",Pune,Maharashtra,1060,155419436.06
BR0146,"Indore Branch 146",Indore,"Madhya Pradesh",1062,155401255.91
BR0415,"Mumbai Branch 415",Mumbai,Maharashtra,1039,155400660.39
