Month,Transaction_Status,Txn_Count,Total_Amt
2022-01,Failed,3029,438945034.98
2022-01,Pending,2939,433806440.98
2022-01,Reversed,2945,432932030.83
2022-01,Success,9295,1346732266.08
2022-01,Unknown,2936,428127212.86
2022-02,Failed,2809,405769276.48
2022-02,Pending,2748,405620604.93
2022-02,Reversed,2561,387904859.73
2022-02,Success,8195,1204742286.51
2022-02,Unknown,2706,395280215.26
2022-03,Failed,3073,460358835.17
2022-03,Pending,3085,456546620.78
2022-03,Reversed,2962,428865043.10
2022-03,Success,9100,1340987537.01
2022-03,Unknown,3039,445726611.95
2022-04,Failed,2867,418287780.26
2022-04,Pending,2981,440253426.69
2022-04,Reversed,2913,428270964.81
2022-04,Success,8716,1279954993.52
2022-04,Unknown,2939,438554116.86
2022-05,Failed,2999,442362358.50
2022-05,Pending,2987,436096360.56
2022-05,Reversed,3044,444989001.96
2022-05,Success,8833,1293924088.66
2022-05,Unknown,3054,442651189.79
2022-06,Failed,2826,418384954.48
2022-06,Pending,2917,421373959.30
2022-06,Reversed,2901,424566409.00
2022-06,Success,8669,1288146104.23
2022-06,Unknown,2914,431347542.24
2022-07,Failed,3061,451873194.04
2022-07,Pending,2945,439642735.33
2022-07,Reversed,2992,440527694.24
2022-07,Success,8942,1320505206.24
2022-07,Unknown,2976,441898356.70
2022-08,Failed,3024,445530319.24
2022-08,Pending,3068,459972655.69
2022-08,Reversed,2988,436529708.33
2022-08,Success,9081,1346579721.34
2022-08,Unknown,2951,434908270.16
2022-09,Failed,2928,435434916.06
2022-09,Pending,2963,444774692.98
2022-09,Reversed,2876,420726540.14
2022-09,Success,8662,1262259757.22
2022-09,Unknown,2914,424878341.45
2022-10,Failed,2998,445199748.12
2022-10,Pending,2907,420669091.38
2022-10,Reversed,2970,432726845.58
2022-10,Success,9065,1334446039.74
2022-10,Unknown,3014,438279624.31
2022-11,Failed,2921,427955650.87
2022-11,Pending,2931,425503651.00
2022-11,Reversed,2932,434060807.50
2022-11,Success,8802,1274506039.01
2022-11,Unknown,2794,416699262.10
2022-12,Failed,3047,452051862.05
2022-12,Pending,3000,443829276.53
2022-12,Reversed,2994,439065909.66
2022-12,Success,8973,1314913139.53
2022-12,Unknown,3033,440567320.67
2023-01,Failed,3029,449490317.36
2023-01,Pending,2917,429014572.67
2023-01,Reversed,3095,466333981.73
2023-01,Success,8961,1323598878.34
2023-01,Unknown,3036,444153601.40
2023-02,Failed,2718,399702733.48
2023-02,Pending,2667,394110512.18
2023-02,Reversed,2706,399994138.98
2023-02,Success,8017,1160567346.74
2023-02,Unknown,2723,401124884.37
2023-03,Failed,2910,422440597.10
2023-03,Pending,3093,450646176.74
2023-03,Reversed,2922,424932104.11
2023-03,Success,9144,1350996860.59
2023-03,Unknown,3137,460260721.89
2023-04,Failed,2965,442151836.70
2023-04,Pending,2900,421124682.83
2023-04,Reversed,2951,425772808.49
2023-04,Success,8666,1286563120.45
2023-04,Unknown,2941,433878171.75
2023-05,Failed,2995,440541590.51
2023-05,Pending,3047,452548126.60
2023-05,Reversed,2986,444787857.26
2023-05,Success,8816,1293779825.47
2023-05,Unknown,2989,439657081.85
2023-06,Failed,2845,415991820.54
2023-06,Pending,2871,428396188.95
2023-06,Reversed,2909,429067493.73
2023-06,Success,8792,1303537169.89
2023-06,Unknown,2832,416381955.31
2023-07,Failed,2987,443072726.00
2023-07,Pending,2941,426736894.66
2023-07,Reversed,2963,436643207.83
2023-07,Success,9083,1336884857.34
2023-07,Unknown,3044,443345914.03
2023-08,Failed,3032,444275545.90
2023-08,Pending,2870,416469618.97
2023-08,Reversed,2999,435274382.18
2023-08,Success,8983,1328707621.74
2023-08,Unknown,3070,452095370.80
2023-09,Failed,2915,423906975.95
2023-09,Pending,2845,426416805.72
2023-09,Reversed,2948,425710445.56
2023-09,Success,8658,1282860476.80
2023-09,Unknown,2942,441585830.86
2023-10,Failed,2942,429787328.66
2023-10,Pending,2978,439657389.68
2023-10,Reversed,3024,442709863.90
2023-10,Success,8943,1312952448.44
2023-10,Unknown,3035,441610885.07
2023-11,Failed,2910,430290904.62
2023-11,Pending,2828,417703843.16
2023-11,Reversed,2870,424706645.97
2023-11,Success,8710,1285006353.07
2023-11,Unknown,2843,431889253.18
2023-12,Failed,3075,454706379.07
2023-12,Pending,3019,445309096.59
2023-12,Reversed,2984,440083553.54
2023-12,Success,8928,1315657342.44
2023-12,Unknown,2998,446950052.98
2024-01,Failed,2936,437770299.85
2024-01,Pending,2933,432280092.15
2024-01,Reversed,2994,441168573.98
2024-01,Success,8846,1310469512.31
2024-01,Unknown,3093,450028220.16
2024-02,Failed,2752,398334005.86
2024-02,Pending,2788,409830999.36
2024-02,Reversed,2815,404434337.11
2024-02,Success,8474,1237579647.29
2024-02,Unknown,2798,415510486.85
2024-03,Failed,3088,452656710.27
2024-03,Pending,3056,447575010.70
2024-03,Reversed,2989,443597093.74
2024-03,Success,9003,1333958683.65
2024-03,Unknown,3014,445462354.57
2024-04,Failed,2964,441209486.89
2024-04,Pending,2872,416827112.00
2024-04,Reversed,2932,428612396.71
2024-04,Success,8745,1279067861.77
2024-04,Unknown,2870,415295678.71
2024-05,Failed,2879,425244136.15
2024-05,Pending,3054,463013202.01
2024-05,Reversed,3005,449494167.20
2024-05,Success,8918,1318884243.84
2024-05,Unknown,2933,442252858.90
2024-06,Failed,2847,417126697.15
2024-06,Pending,2899,424490435.73
2024-06,Reversed,2915,435024144.04
2024-06,Success,8795,1292181599.76
2024-06,Unknown,2889,433302348.19
2024-07,Failed,2986,432146291.36
2024-07,Pending,3034,433473676.06
2024-07,Reversed,2809,419429926.10
2024-07,Success,9058,1365838840.41
2024-07,Unknown,2978,441558552.14
2024-08,Failed,2933,431330491.33
2024-08,Pending,2986,433709727.20
2024-08,Reversed,2990,441521974.66
2024-08,Success,9131,1344468330.11
2024-08,Unknown,2946,441324257.44
2024-09,Failed,2864,421010474.64
2024-09,Pending,2931,427293357.48
2024-09,Reversed,2857,417702130.72
2024-09,Success,8836,1285689661.51
2024-09,Unknown,2808,410067087.38
2024-10,Failed,2960,435248533.23
2024-10,Pending,3027,446697235.15
2024-10,Reversed,2935,437373194.62
2024-10,Success,8879,1302111973.47
2024-10,Unknown,2941,424501934.78
2024-11,Failed,2721,391804867.47
2024-11,Pending,2957,432860697.65
2024-11,Reversed,2955,431727426.91
2024-11,Success,8827,1302266391.68
2024-11,Unknown,2895,423614069.19
2024-12,Failed,3026,453661488.69
2024-12,Pending,2896,428762531.69
2024-12,Reversed,3038,444387299.32
2024-12,Success,9052,1351661096.84
2024-12,Unknown,3013,439558116.36
2025-01,Failed,2989,440521595.59
2025-01,Pending,3007,436722491.41
2025-01,Reversed,2945,437843362.46
2025-01,Success,8776,1293785179.22
2025-01,Unknown,2973,430570028.23
2025-02,Failed,2736,400439205.86
2025-02,Pending,2632,385084904.10
2025-02,Reversed,2666,379876939.78
2025-02,Success,8311,1208374528.77
2025-02,Unknown,2705,402994041.99
2025-03,Failed,2962,437899610.43
2025-03,Pending,2984,439544349.95
2025-03,Reversed,2971,436737561.06
2025-03,Success,8991,1317998223.34
2025-03,Unknown,3024,442623572.98
2025-04,Failed,2837,415944440.94
2025-04,Pending,2969,437637630.35
2025-04,Reversed,2889,424760211.30
2025-04,Success,8725,1277337954.08
2025-04,Unknown,2935,426080199.41
2025-05,Failed,2972,437699458.44
2025-05,Pending,3002,439240577.43
2025-05,Reversed,2952,431007439.48
2025-05,Success,8966,1314998535.07
2025-05,Unknown,2908,423969214.13
2025-06,Failed,2850,420983190.91
2025-06,Pending,2829,413349580.20
2025-06,Reversed,2951,425972945.05
2025-06,Success,8811,1292677549.56
2025-06,Unknown,2893,428771611.77
2025-07,Failed,3536,523280314.60
2025-07,Pending,3464,513109285.50
2025-07,Reversed,3342,482165153.65
2025-07,Success,10229,1506133962.42
2025-07,Unknown,3462,508535210.48
2025-08,Failed,2970,445115521.32
2025-08,Pending,3030,446286986.16
2025-08,Reversed,2913,418214334.02
2025-08,Success,9188,1357348187.77
2025-08,Unknown,2989,440011687.44
2025-09,Failed,2858,420022353.97
2025-09,Pending,2933,421888122.38
2025-09,Reversed,2874,422900887.45
2025-09,Success,8589,1261640905.01
2025-09,Unknown,2813,408638836.56
2025-10,Failed,3050,447384936.64
2025-10,Pending,3004,442803658.03
2025-10,Reversed,2965,435536284.94
2025-10,Success,8998,1317021406.43
2025-10,Unknown,3059,451092799.41
2025-11,Failed,2894,418255040.51
2025-11,Pending,2937,439338905.11
2025-11,Reversed,2968,439856323.80
2025-11,Success,8783,1293973031.27
2025-11,Unknown,2942,427303621.20
2025-12,Failed,3011,447764086.02
2025-12,Pending,2958,429933075.59
2025-12,Reversed,3056,449670500.45
2025-12,Success,8984,1309733154.95
2025-12,Unknown,2950,433140428.55
