Txn_Month,Total_Txn,Total_Amt,Pre_Month_Amt,MOM_Growth_Percentage
2022-01,21144,3080542985.73,NULL,NULL
2022-02,19019,2799317242.91,3080542985.73,-9.13
2022-03,21259,3132484648.01,2799317242.91,11.90
2022-04,20416,3005321282.14,3132484648.01,-4.06
2022-05,20917,3060022999.47,3005321282.14,1.82
2022-06,20227,2983818969.25,3060022999.47,-2.49
2022-07,20916,3094447186.55,2983818969.25,3.71
2022-08,21112,3123520674.76,3094447186.55,0.94
2022-09,20343,2988074247.85,3123520674.76,-4.34
2022-10,20954,3071321349.13,2988074247.85,2.79
2022-11,20380,2978725410.48,3071321349.13,-3.01
2022-12,21047,3090427508.44,2978725410.48,3.75
2023-01,21038,3112591351.50,3090427508.44,0.72
2023-02,18831,2755499615.75,3112591351.50,-11.47
2023-03,21206,3109276460.43,2755499615.75,12.84
2023-04,20423,3009490620.22,3109276460.43,-3.21
2023-05,20833,3071314481.69,3009490620.22,2.05
2023-06,20249,2993374628.42,3071314481.69,-2.54
2023-07,21018,3086683599.86,2993374628.42,3.12
2023-08,20954,3076822539.59,3086683599.86,-0.32
2023-09,20308,3000480534.89,3076822539.59,-2.48
2023-10,20922,3066717915.75,3000480534.89,2.21
2023-11,20161,2989597000.00,3066717915.75,-2.51
2023-12,21004,3102706424.62,2989597000.00,3.78
2024-01,20802,3071716698.45,3102706424.62,-1.00
2024-02,19627,2865689476.47,3071716698.45,-6.71
2024-03,21150,3123249852.93,2865689476.47,8.99
2024-04,20383,2981012536.08,3123249852.93,-4.55
2024-05,20789,3098888608.10,2981012536.08,3.95
2024-06,20345,3002125224.87,3098888608.10,-3.12
2024-07,20865,3092447286.07,3002125224.87,3.01
2024-08,20986,3092354780.74,3092447286.07,0.00
2024-09,20296,2961762711.73,3092354780.74,-4.22
2024-10,20742,3045932871.25,2961762711.73,2.84
2024-11,20355,2982273452.90,3045932871.25,-2.09
2024-12,21025,3118030532.90,2982273452.90,4.55
2025-01,20690,3039442656.91,3118030532.90,-2.52
2025-02,19050,2776769620.50,3039442656.91,-8.64
2025-03,20932,3074803317.76,2776769620.50,10.73
2025-04,20355,2981760436.08,3074803317.76,-3.03
2025-05,20800,3046915224.55,2981760436.08,2.19
2025-06,20334,2981754877.49,3046915224.55,-2.14
2025-07,24033,3533223926.65,2981754877.49,18.49
2025-08,21090,3106976716.71,3533223926.65,-12.06
2025-09,20067,2935091105.37,3106976716.71,-5.53
2025-10,21076,3093839085.45,2935091105.37,5.41
2025-11,20524,3018726921.89,3093839085.45,-2.43
2025-12,20959,3070241245.56,3018726921.89,1.71
